========================================
General Configuration:
	Wighting: ITL
	Architecture: HPS
	Rep_Grad: False
	Multi_Input: True
	Seed: 0
	Device: cuda:0
ITL Configuration:
	weighting: ITL
	task_idx: 0
Optimizer Configuration:
	optim: adam
	lr: 0.001
	weight_decay: 1e-06
========================================
Total Params: 11573572
Trainable Params: 11573572
Non-trainable Params: 0
========================================
LOG FORMAT | Art_LOSS Acc | Clipart_LOSS Acc | Product_LOSS Acc | Real_World_LOSS Acc | TIME
Epoch: 0051 | TRAIN: 0.0132 0.9935 | 4.1744 0.0164 | 4.1744 0.0183 | 4.1744 0.0156 | Time: 123.1227 | VAL: 2.4653 0.5161 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.3242 | TEST: 2.6171 0.5066 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.9003
Epoch: 0052 | TRAIN: 0.0111 0.9939 | 4.1744 0.0198 | 4.1744 0.0179 | 4.1744 0.0171 | Time: 122.4508 | VAL: 2.5075 0.5204 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 35.9871 | TEST: 2.6866 0.5066 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.0349
Epoch: 0053 | TRAIN: 0.0126 0.9935 | 4.1744 0.0156 | 4.1744 0.0183 | 4.1744 0.0149 | Time: 128.6995 | VAL: 2.4936 0.5269 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.9716 | TEST: 2.6649 0.5028 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.7564
Epoch: 0054 | TRAIN: 0.0142 0.9928 | 4.1744 0.0156 | 4.1744 0.0179 | 4.1744 0.0145 | Time: 122.6587 | VAL: 2.5181 0.5333 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 35.5020 | TEST: 2.6794 0.4991 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 37.1769
Epoch: 0055 | TRAIN: 0.0097 0.9947 | 4.1744 0.0198 | 4.1744 0.0183 | 4.1744 0.0149 | Time: 124.1385 | VAL: 2.5350 0.5398 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 35.8711 | TEST: 2.7319 0.4858 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 37.1818
Epoch: 0056 | TRAIN: 0.0125 0.9947 | 4.1744 0.0171 | 4.1744 0.0183 | 4.1744 0.0168 | Time: 126.1530 | VAL: 2.5731 0.5333 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 35.2939 | TEST: 2.7456 0.4991 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 37.0390
Epoch: 0057 | TRAIN: 0.0117 0.9935 | 4.1744 0.0168 | 4.1744 0.0183 | 4.1744 0.0171 | Time: 127.7150 | VAL: 2.5538 0.5290 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.2285 | TEST: 2.6835 0.4839 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.5176
Epoch: 0058 | TRAIN: 0.0134 0.9939 | 4.1744 0.0171 | 4.1744 0.0183 | 4.1744 0.0141 | Time: 126.0811 | VAL: 2.6577 0.5226 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.9306 | TEST: 2.8070 0.4934 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 36.3979
Epoch: 0059 | TRAIN: 0.0135 0.9935 | 4.1744 0.0213 | 4.1744 0.0183 | 4.1744 0.0137 | Time: 124.3903 | VAL: 2.5423 0.5290 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 37.5738 | TEST: 2.7084 0.4953 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 34.7006
Epoch: 0060 | TRAIN: 0.0110 0.9935 | 4.1744 0.0152 | 4.1744 0.0179 | 4.1744 0.0160 | Time: 126.2635 | VAL: 2.5307 0.5333 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 37.6637 | TEST: 2.7895 0.4934 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.5341
Epoch: 0061 | TRAIN: 0.0130 0.9916 | 4.1744 0.0175 | 4.1744 0.0183 | 4.1744 0.0171 | Time: 122.9235 | VAL: 2.6364 0.5226 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 36.2867 | TEST: 2.7784 0.4934 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.5271
Epoch: 0062 | TRAIN: 0.0114 0.9943 | 4.1744 0.0160 | 4.1744 0.0183 | 4.1744 0.0133 | Time: 126.8211 | VAL: 2.6138 0.5118 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 38.2325 | TEST: 2.7961 0.4896 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 37.5774
Epoch: 0063 | TRAIN: 0.0123 0.9943 | 4.1744 0.0198 | 4.1744 0.0183 | 4.1744 0.0183 | Time: 122.7403 | VAL: 2.6342 0.5333 | 4.1744 0.0177 | 4.1744 0.0186 | 4.1744 0.0154 | Time: 37.3296 | TEST: 2.8191 0.4896 | 4.1744 0.0184 | 4.1744 0.0180 | 4.1744 0.0162 | Time: 35.1989
